Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,amazon_parent_asin (product.metafields.custom.amazon_parent_asin),Short name (product.metafields.custom.short_name),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
custom-ornate-red-cross-floral-area-rug-non-skid-church-decor,"Custom Ornate Red Cross Floral Area Rug, Non-Skid, Church Decor","<p>This area rug offers a blend of inspirational design and practical functionality for various home settings. Featuring a Christian faith floral theme, this rug is crafted to enhance the spiritual and aesthetic atmosphere of any room. It is designed for comfort and durability, making it suitable for daily use in busy areas.</p><h3>Product Highlights</h3><ul>
<li>Features an inspirational Christian faith floral design.</li>
<li>Can be personalized with a name or special message.</li>
<li>Offers a soft and comfortable feel for bare feet.</li>
<li>Equipped with an anti-slip backing for enhanced safety.</li>
<li>Suitable for a variety of indoor spaces.</li>
<li>Resistant to wrinkles and fading for lasting appeal.</li>
</ul><h3>Specifications</h3><table border=""1"" cellpadding=""6"" style=""border-collapse:collapse;width:100%"">
<tr>
<th align=""left"" width=""35%"">Attribute</th>
<th align=""left"">Value</th>
</tr>
<tr>
<td>Rug Form</td>
<td>Area Rug</td>
</tr>
<tr>
<td>Item Shape</td>
<td>Rectangular</td>
</tr>
<tr>
<td>Weave Type</td>
<td>Flat Woven</td>
</tr>
<tr>
<td>Pile Height</td>
<td>Low Pile</td>
</tr>
<tr>
<td>Construction Type</td>
<td>Machine Made</td>
</tr>
<tr>
<td>Indoor/Outdoor Usage</td>
<td>Indoor</td>
</tr>
<tr>
<td>Room Type</td>
<td>Bedroom, Living Room, Office, Gamer Room, Reading Nook, Entryway</td>
</tr>
<tr>
<td>Water Resistance</td>
<td>Not Water Resistant</td>
</tr>
<tr>
<td>Special Features</td>
<td>Non-Skid</td>
</tr>
<tr>
<td>Pattern</td>
<td>Floral</td>
</tr>
<tr>
<td>Theme</td>
<td>Faith</td>
</tr>
<tr>
<td>Style</td>
<td>Traditional</td>
</tr>
<tr>
<td>Number of Pieces</td>
<td>1</td>
</tr>
</table><h3>Material &amp; Care</h3><table border=""1"" cellpadding=""6"" style=""border-collapse:collapse;width:100%"">
<tr>
<th align=""left"" width=""35%"">Item</th>
<th align=""left"">Detail</th>
</tr>
<tr>
<td>Material Type</td>
<td>Memory Foam, Polyester Fabric</td>
</tr>
<tr>
<td>Backing Material</td>
<td>Cotton Blend</td>
</tr>
<tr>
<td>Care Instructions</td>
<td>Vacuum for quick cleaning, machine wash for deeper care</td>
</tr>
</table><h3>Where It Works</h3><p>This versatile area rug is ideal for enhancing the ambiance of entryways, bedrooms, living rooms, and offices. It also serves as a thoughtful addition to gamer rooms, cozy reading nooks, meditation areas, and churches, providing both comfort and a decorative touch.</p>",CHILLGEN,,Rug,"amazon-parent-b0fss8xw1z, area rug, faith, floral, home-decor, indoor, rectangular, rug, traditional",false,Choose Item Size,X-Small: 2x3ft,,,,,,,,AMZ-RUG-B0FT7BW2CG-1,0.0,,0,deny,manual,34.90,43.63,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/60033e1bdd120bbaeeac0adbe1b9b74ffe2faa9d8527ff0b57a393ee55f3ffca.jpg?v=1789055851,1,"Custom Ornate Red Cross Floral Area Rug, Non-Skid, Church Decor",false,,"Traditional rectangular area rug with an inspirational faith floral design, featuring an anti-slip backing for indoor use.",,,,,,,,,,,,B0FSS8XW1Z,,,,,lb,,,draft
custom-ornate-red-cross-floral-area-rug-non-skid-church-decor,,,,,,,,,Small: 3x5ft,,,,,,,,AMZ-RUG-B0FT7BW2CG-2,0.0,,0,deny,manual,69.90,87.38,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e3e24c69366e45d9f6df7cc01af8a7b70449c0518c772a326e9a9d404b772215.jpg?v=1789055850,2,"Custom Ornate Red Cross Floral Area Rug, Non-Skid, Church Decor",,,,,,,,,,,,,,,,,,,,lb,,,
custom-ornate-red-cross-floral-area-rug-non-skid-church-decor,,,,,,,,,Medium: 4x6ft,,,,,,,,AMZ-RUG-B0FT7BW2CG-3,0.0,,0,deny,manual,104.90,131.13,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/22477c1c61e09d9db1063bc3b59aafdb23e6615ed77e13becf9e103f9bc6f10e.jpg?v=1789055850,3,"Custom Ornate Red Cross Floral Area Rug, Non-Skid, Church Decor",,,,,,,,,,,,,,,,,,,,lb,,,
custom-ornate-red-cross-floral-area-rug-non-skid-church-decor,,,,,,,,,Large: 5x8ft,,,,,,,,AMZ-RUG-B0FT7BW2CG-4,0.0,,0,deny,manual,139.90,174.88,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0a12c0f2c5445d7445d388d70a60e3ea2e262f7f69702c7d684fa2f9185fde4d.jpg?v=1789055851,4,"Custom Ornate Red Cross Floral Area Rug, Non-Skid, Church Decor",,,,,,,,,,,,,,,,,,,,lb,,,
custom-ornate-red-cross-floral-area-rug-non-skid-church-decor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/823a535833d138580f78dddae565f45904e8cc9a6c3a0a643e0f4b46a8a17927.jpg?v=1789055851,5,"Custom Ornate Red Cross Floral Area Rug, Non-Skid, Church Decor",,,,,,,,,,,,,,,,,,,,,,,
custom-ornate-red-cross-floral-area-rug-non-skid-church-decor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/843249ef4730d41ea6a1f1283f37d57d0fe0f0b19431a35dc9329babfd02774a.jpg?v=1789055851,6,"Custom Ornate Red Cross Floral Area Rug, Non-Skid, Church Decor",,,,,,,,,,,,,,,,,,,,,,,
custom-gothic-cross-faith-area-rug-non-skid-church-decor,"Custom Gothic Cross Faith Area Rug, Non-Skid, Church Decor","<p>This inspirational area rug features a faith floral design, adding a meaningful touch to any space. Crafted for comfort and durability, it serves as both a decorative accent and a functional floor covering. Its versatile nature makes it suitable for enhancing various rooms with spiritual elegance and coziness.</p><h3>Product Highlights</h3><ul>
<li>Features an inspirational faith floral design.</li>
<li>Offers a soft and comfortable feel underfoot.</li>
<li>Equipped with an anti-slip backing for enhanced safety.</li>
<li>Wrinkle-resistant and fade-resistant for lasting beauty.</li>
<li>Versatile for home and church use, including prayer or meditation areas.</li>
<li>Can be personalized with a name or special message.</li>
</ul><h3>Specifications</h3><table border=""1"" cellpadding=""6"" style=""border-collapse:collapse;width:100%"">
<tr>
<th align=""left"" width=""35%"">Attribute</th>
<th align=""left"">Value</th>
</tr>
<tr>
<td>Rug Form</td>
<td>Area Rug</td>
</tr>
<tr>
<td>Item Shape</td>
<td>Rectangular</td>
</tr>
<tr>
<td>Weave Type</td>
<td>Flat Woven</td>
</tr>
<tr>
<td>Pile Height</td>
<td>Low Pile</td>
</tr>
<tr>
<td>Construction Type</td>
<td>Machine Made</td>
</tr>
<tr>
<td>Indoor/Outdoor Usage</td>
<td>Indoor</td>
</tr>
<tr>
<td>Room Type</td>
<td>Bedroom, Living Room, Office, Gamer Room, Reading Nook, Entryway</td>
</tr>
<tr>
<td>Water Resistance</td>
<td>Not Water Resistant</td>
</tr>
<tr>
<td>Pattern</td>
<td>Floral</td>
</tr>
<tr>
<td>Theme</td>
<td>Christian, Faith, Inspirational</td>
</tr>
<tr>
<td>Style</td>
<td>Traditional</td>
</tr>
<tr>
<td>Number of Pieces</td>
<td>1</td>
</tr>
</table><h3>Material &amp; Care</h3><table border=""1"" cellpadding=""6"" style=""border-collapse:collapse;width:100%"">
<tr>
<th align=""left"" width=""35%"">Item</th>
<th align=""left"">Detail</th>
</tr>
<tr>
<td>Material Type</td>
<td>Memory Foam, Polyester Fabric</td>
</tr>
<tr>
<td>Backing Material</td>
<td>Cotton Blend</td>
</tr>
<tr>
<td>Care Instructions</td>
<td>Vacuum for quick cleaning, machine wash for deeper care</td>
</tr>
</table><h3>Where It Works</h3><p>This personalized rug is ideal for creating a serene and inviting atmosphere in bedrooms, living rooms, and entryways. It also serves beautifully in offices, gamer rooms, cozy reading nooks, or as a decorative piece in church settings and meditation corners, fostering an environment of peace and reflection.</p>",CHILLGEN,,Rug,"amazon-parent-b0fss8xw1z, christian, floral, home-decor, indoor, personalized, rectangular, rug, traditional",false,Choose Item Size,X-Small: 2x3ft,,,,,,,,AMZ-RUG-B0H4LLZFZY-1,0.0,,0,deny,manual,34.90,43.63,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5c65942892d8d128dd766b1953834515584fb03d43fd7087d37bb4e54acbe984.jpg?v=1789055851,1,"Custom Christian Rug with Name – Inspirational Faith Floral Area Carpet, Non-Skid Floor Mat for Bedroom, Living Room, Church Decor, Housewarming (Purple Roses)",false,,"Traditional Christian area rug with anti-slip backing, made of memory foam, ideal for bedrooms, living rooms, and church decor.",,,,,,,,,,,,B0FSS8XW1Z,,,,,lb,,,draft
custom-gothic-cross-faith-area-rug-non-skid-church-decor,,,,,,,,,Small: 3x5ft,,,,,,,,AMZ-RUG-B0H4LLZFZY-2,0.0,,0,deny,manual,69.90,87.38,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ee274857bd5d6bcbf22a6c77782b44127a31b68baa2ae80858cfff1140dc112e.jpg?v=1789055851,2,"Custom Christian Rug with Name – Inspirational Faith Floral Area Carpet, Non-Skid Floor Mat for Bedroom, Living Room, Church Decor, Housewarming (Purple Roses)",,,,,,,,,,,,,,,,,,,,lb,,,
custom-gothic-cross-faith-area-rug-non-skid-church-decor,,,,,,,,,Medium: 4x6ft,,,,,,,,AMZ-RUG-B0H4LLZFZY-3,0.0,,0,deny,manual,104.90,131.13,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/3bee8338fc836912d838d0f69871d51266101dd223110c3db9fbec08f1e2760a.jpg?v=1789055851,3,"Custom Christian Rug with Name – Inspirational Faith Floral Area Carpet, Non-Skid Floor Mat for Bedroom, Living Room, Church Decor, Housewarming (Purple Roses)",,,,,,,,,,,,,,,,,,,,lb,,,
custom-gothic-cross-faith-area-rug-non-skid-church-decor,,,,,,,,,Large: 5x8ft,,,,,,,,AMZ-RUG-B0H4LLZFZY-4,0.0,,0,deny,manual,139.90,174.88,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ce7d1ee2ce3a6f1a2ac6a31f65c3bd32526578f0a63a6c16921db4b1c16decd8.jpg?v=1789055850,4,"Custom Christian Rug with Name – Inspirational Faith Floral Area Carpet, Non-Skid Floor Mat for Bedroom, Living Room, Church Decor, Housewarming (Purple Roses)",,,,,,,,,,,,,,,,,,,,lb,,,
