keyword,product_key,buyer_research_refs,query_origin,semantic_cluster,intent,target_page_type,target_url,keyword_role,decision_reason,supporting_fact_ids,demand_evidence,season,research_period,validation_source,checked_at,representative_SERP_URLs,possible_overlap_with_other_products,mapping_reason,mapping_status,mapping_version
personalized dog Halloween rug,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-03,B001-001-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,personalized dog Halloween rug,Commercial,PRODUCT,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-03,PRIMARY,Motif-specific phrase matches the observed product and commercial intent.,B001-001,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,2026-09-07T01:09:45+07:00,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
custom pet portrait rug,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-03,B001-001-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,personalized dog Halloween rug,Commercial,PRODUCT,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-03,SECONDARY,Relevant synonym or customization phrase; supports product copy without replacing primary.,B001-001,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,2026-09-07T01:09:45+07:00,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
halloween rug,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-03,,SERP_OBSERVED_AND_AGENT_EXPANSION,halloween rug,Commercial,COLLECTION,https://chillgen.com/collections/halloween,REJECTED,Too broad for individual product; better assigned to Halloween collection to reduce overlap.,B001-001,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://chillgen.com/collections/halloween,2026-09-07T01:09:45+07:00,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,YES,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
personalized dog Halloween pumpkin rug,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-02,B001-002-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,personalized dog Halloween pumpkin rug,Commercial,PRODUCT,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-02,PRIMARY,Motif-specific phrase matches the observed product and commercial intent.,B001-002,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,2026-09-07T01:09:45+07:00,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
custom dog photo rug,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-02,B001-002-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,personalized dog Halloween pumpkin rug,Commercial,PRODUCT,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-02,SECONDARY,Relevant synonym or customization phrase; supports product copy without replacing primary.,B001-002,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,2026-09-07T01:09:45+07:00,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
halloween rug,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-02,,SERP_OBSERVED_AND_AGENT_EXPANSION,halloween rug,Commercial,COLLECTION,https://chillgen.com/collections/halloween,REJECTED,Too broad for individual product; better assigned to Halloween collection to reduce overlap.,B001-002,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://chillgen.com/collections/halloween,2026-09-07T01:09:45+07:00,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,YES,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
personalized dog Halloween graveyard rug,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-01,B001-003-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,personalized dog Halloween graveyard rug,Commercial,PRODUCT,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-01,PRIMARY,Motif-specific phrase matches the observed product and commercial intent.,B001-003,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,2026-09-07T01:09:45+07:00,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
custom pet name rug,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-01,B001-003-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,personalized dog Halloween graveyard rug,Commercial,PRODUCT,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-01,SECONDARY,Relevant synonym or customization phrase; supports product copy without replacing primary.,B001-003,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,2026-09-07T01:09:45+07:00,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
halloween rug,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-01,,SERP_OBSERVED_AND_AGENT_EXPANSION,halloween rug,Commercial,COLLECTION,https://chillgen.com/collections/halloween,REJECTED,Too broad for individual product; better assigned to Halloween collection to reduce overlap.,B001-003,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://chillgen.com/collections/halloween,2026-09-07T01:09:45+07:00,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,YES,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
personalized dog witch Halloween rug,custom-dog-photo-rug-personalized-pet-portrait-area-mat-non-slip,B001-004-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,personalized dog witch Halloween rug,Commercial,PRODUCT,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-non-slip,PRIMARY,Motif-specific phrase matches the observed product and commercial intent.,B001-004,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,2026-09-07T01:09:45+07:00,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
custom dog cauldron rug,custom-dog-photo-rug-personalized-pet-portrait-area-mat-non-slip,B001-004-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,personalized dog witch Halloween rug,Commercial,PRODUCT,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-non-slip,SECONDARY,Relevant synonym or customization phrase; supports product copy without replacing primary.,B001-004,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,2026-09-07T01:09:45+07:00,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
halloween rug,custom-dog-photo-rug-personalized-pet-portrait-area-mat-non-slip,,SERP_OBSERVED_AND_AGENT_EXPANSION,halloween rug,Commercial,COLLECTION,https://chillgen.com/collections/halloween,REJECTED,Too broad for individual product; better assigned to Halloween collection to reduce overlap.,B001-004,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://chillgen.com/collections/halloween,2026-09-07T01:09:45+07:00,https://aprintnest.com/; https://www.etsy.com/listing/1585313764/custom-pet-portrait-rug-personalized-rug,YES,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
Halloween spider web optical illusion rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102,B001-005-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,Halloween spider web optical illusion rug,Commercial,PRODUCT,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102,PRIMARY,Motif-specific phrase matches the observed product and commercial intent.,B001-005,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky; https://pisif.com/products/3d-skeleton-illusion-round-halloween-rug,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
3D Halloween rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102,B001-005-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,Halloween spider web optical illusion rug,Commercial,PRODUCT,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102,SECONDARY,Relevant synonym or customization phrase; supports product copy without replacing primary.,B001-005,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky; https://pisif.com/products/3d-skeleton-illusion-round-halloween-rug,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
halloween rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102,,SERP_OBSERVED_AND_AGENT_EXPANSION,halloween rug,Commercial,COLLECTION,https://chillgen.com/collections/halloween,REJECTED,Too broad for individual product; better assigned to Halloween collection to reduce overlap.,B001-005,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://chillgen.com/collections/halloween,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,YES,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
Halloween skeleton optical illusion rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101,B001-006-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,Halloween skeleton optical illusion rug,Commercial,PRODUCT,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101,PRIMARY,Motif-specific phrase matches the observed product and commercial intent.,B001-006,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky; https://pisif.com/products/3d-skeleton-illusion-round-halloween-rug,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
3D skeleton rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101,B001-006-BR01,SERP_OBSERVED_AND_AGENT_EXPANSION,Halloween skeleton optical illusion rug,Commercial,PRODUCT,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101,SECONDARY,Relevant synonym or customization phrase; supports product copy without replacing primary.,B001-006,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky; https://pisif.com/products/3d-skeleton-illusion-round-halloween-rug,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,LOW_TO_MEDIUM_WITH_SIMILAR_MOTIF_PRODUCTS,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
halloween rug,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101,,SERP_OBSERVED_AND_AGENT_EXPANSION,halloween rug,Commercial,COLLECTION,https://chillgen.com/collections/halloween,REJECTED,Too broad for individual product; better assigned to Halloween collection to reduce overlap.,B001-006,SERP pages observed; no search volume source used.,HALLOWEEN,2026-09-07,https://chillgen.com/collections/halloween,2026-09-07T01:09:45+07:00,https://www.walmart.com/ip/20811815953; https://shop.tiktok.com/us/pdp/1732566225722380431; https://www.etsy.com/ca/listing/4557149347/3d-skeleton-halloween-rug-round-spooky,YES,Product-specific motif retained; collection handles broad seasonal head term.,NEEDS_REVIEW,2.4
