batch_id,product_key,handle,product_id,product_gid,url,product_json_url,canonical_url,title_current,h1_current,rendered_title_current,meta_description_rendered,description_text_current,product_type,vendor,price_min,variant_count_public_json,image_count_public_json,captured_at,html_sha256,product_json_sha256,snapshot_dir
B009,chillgen.com::personalized-pride-rainbow-doormat-front-porch-decor,personalized-pride-rainbow-doormat-front-porch-decor,16001059750257,gid://shopify/Product/16001059750257,https://chillgen.com/products/personalized-pride-rainbow-doormat-front-porch-decor,https://chillgen.com/products/personalized-pride-rainbow-doormat-front-porch-decor.js,https://chillgen.com/products/personalized-pride-rainbow-doormat-front-porch-decor,"Personalized Pride Rainbow Doormat, Front Porch Decor","Personalized Pride Rainbow Doormat, Front Porch Decor","Personalized Pride Rainbow Doormat, Front Porch Decor",This modern rainbow doormat with a vivid print is perfect for welcoming guests in indoor or outdoor spaces.,"This vibrant Pride Rainbow Doormat brings a welcoming touch to any home with its colorful artwork inspired by inclusivity, love, and positivity. Designed for both indoor and outdoor use, this doormat adds personality and warmth to your decor. It is a beautiful accent for entryways, patios, and porches, creating a cheerful aesthetic. Product Highlights Features a bright and colorful Pride design with rainbow-inspired artwork. Soft and durable material ensures a comfortable surface for everyday use. Vivid, long-lasting print adds personality to your living spaces. Suitable for both indoor and outdoor environments. Perfect for creating an inclusive home aesthetic in various styles. Specifications Attribute Value Rug Form Doormat Item Shape Rectangular Weave Type Flat Woven Pile Height Low Pile Construction Type Machine Made Indoor/Outdoor Usage Both Room Type Porch Pattern rainbow Theme Rainbow Style Modern Number of Pieces 1 text input Material & Care Item Detail Material Type Polyester Backing Material Rubber Where It Works This versatile doormat is ideal for front doors, entryways, patios, porches, apartments, dorms, classrooms, and offices. Its durable design makes it suitable for both indoor and outdoor use, enhancing any space with its cheerful and inclusive aesthetic.",Rug,CHILLGEN,21.9,4,7,2026-09-11T10:19:26Z,bfc3f8406f08fe922d6177a9d3e4b5ddce1c4edf265f31845791072f26b2753b,984bea0fcb2c41c15a9035977fa37710bb57a4c3a2dadf271723b4d15f177e42,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B009/personalized-pride-rainbow-doormat-front-porch-decor
B009,chillgen.com::personalized-pride-rainbow-flag-doormat-indoor-outdoor-usage,personalized-pride-rainbow-flag-doormat-indoor-outdoor-usage,16001059783025,gid://shopify/Product/16001059783025,https://chillgen.com/products/personalized-pride-rainbow-flag-doormat-indoor-outdoor-usage,https://chillgen.com/products/personalized-pride-rainbow-flag-doormat-indoor-outdoor-usage.js,https://chillgen.com/products/personalized-pride-rainbow-flag-doormat-indoor-outdoor-usage,"Personalized Pride Rainbow Flag Doormat, Indoor Outdoor Usage","Personalized Pride Rainbow Flag Doormat, Indoor Outdoor Usage",Personalized Pride Rainbow Flag – Indoor Outdoor Usage,"Modern rainbow doormat with a soft, durable surface, ideal for welcoming guests in indoor or outdoor spaces.","Celebrate love and inclusivity with this vibrant Pride Rainbow Doormat, featuring colorful artwork inspired by positivity. This unique doormat adds a welcoming touch to any home, creating a warm and inviting atmosphere. It is designed to enhance your home decor with a cheerful aesthetic and a soft, durable surface. Product Highlights Features a bright and colorful Pride design with rainbow-inspired artwork. Designed for everyday use with a comfortable surface. Vivid and long-lasting print adds personality and warmth. Suitable for both indoor and outdoor spaces. Perfect for creating an inclusive home aesthetic in modern, boho, retro, or eclectic spaces. Specifications Attribute Value Rug Form Doormat Item Shape Rectangular Weave Type Flat Woven Pile Height Low Pile Construction Type Machine Made Indoor/Outdoor Usage Both Room Type Porch Special Features Lightweight Pattern rainbow Theme Rainbow Style Modern Text 1 text input Material & Care Item Detail Material Type Polyester Backing Material Rubber Where It Works This decorative doormat is ideal for front doors, entryways, patios, porches, apartments, dorms, classrooms, and offices. It adds a cheerful and inclusive accent to various indoor and outdoor environments.",Rug,CHILLGEN,21.9,4,7,2026-09-11T10:19:26Z,7cde10ae096c7e25545d0eeae6c01ebf39bdc317ac7e1c321277bc3f3b99c3fa,c508fd7a86ba14cd747f396a622b79f27cc28f0b9d7efb8708ade23ae61ed3d3,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B009/personalized-pride-rainbow-flag-doormat-indoor-outdoor-usage
B009,chillgen.com::personalized-rainbow-watercolor-love-wins-doormat-front-porch-decor,personalized-rainbow-watercolor-love-wins-doormat-front-porch-decor,16001059848561,gid://shopify/Product/16001059848561,https://chillgen.com/products/personalized-rainbow-watercolor-love-wins-doormat-front-porch-decor,https://chillgen.com/products/personalized-rainbow-watercolor-love-wins-doormat-front-porch-decor.js,https://chillgen.com/products/personalized-rainbow-watercolor-love-wins-doormat-front-porch-decor,"Personalized Rainbow Watercolor Love Wins Doormat, Front Porch Decor","Personalized Rainbow Watercolor Love Wins Doormat, Front Porch Decor",Personalized Rainbow Watercolor Love – Front Porch Decor,"Modern rainbow doormat with a soft, durable polyester surface for welcoming entryways and outdoor spaces.","This vibrant doormat features colorful artwork inspired by inclusivity, love, and positivity, adding a welcoming touch to your home. Designed for everyday use, it combines a soft surface with a vivid, long-lasting print to enhance your decor. This versatile mat is suitable for various indoor and outdoor spaces, creating an inviting atmosphere. Product Highlights Features a bright and colorful Pride rainbow design. Offers a soft and comfortable surface. Designed for durability with a vivid, long-lasting print. Suitable for both indoor and outdoor use. Perfect for enhancing modern, boho, retro, or eclectic spaces. Specifications Attribute Value Rug Form Doormat Item Shape Rectangular Weave Type Flat Woven Pile Height Low Pile Construction Type Machine Made Indoor/Outdoor Usage Both Room Type Porch Special Features Lightweight Pattern rainbow Theme Rainbow Style Modern Number of Pieces 1 text input Material & Care Item Detail Material Type Polyester Backing Material Rubber Where It Works This decorative doormat is ideal for front doors, entryways, patios, porches, apartments, dorms, classrooms, offices, and other indoor or outdoor spaces. It helps create a cozy and welcoming atmosphere.",Rug,CHILLGEN,21.9,4,7,2026-09-11T10:19:26Z,f3f375fb88520698d25b7010311a3abba751d159182967df04b987d4375a3ecf,4861dc1868dac60a8b994ae0053bdc12b3231e0d459b307b484a9ca43e1f86d4,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B009/personalized-rainbow-watercolor-love-wins-doormat-front-porch-decor
B009,chillgen.com::personalized-rainbow-welcome-homos-doormat-indoor-outdoor,personalized-rainbow-welcome-homos-doormat-indoor-outdoor,16001060929905,gid://shopify/Product/16001060929905,https://chillgen.com/products/personalized-rainbow-welcome-homos-doormat-indoor-outdoor,https://chillgen.com/products/personalized-rainbow-welcome-homos-doormat-indoor-outdoor.js,https://chillgen.com/products/personalized-rainbow-welcome-homos-doormat-indoor-outdoor,"Personalized Rainbow Welcome HOMOS Doormat, Indoor Outdoor","Personalized Rainbow Welcome HOMOS Doormat, Indoor Outdoor","Personalized Rainbow Welcome HOMOS Doormat, Indoor Outdoor","Modern rainbow doormat with a soft, durable surface, perfect for adding a welcoming touch to your porch or entryway.","This Pride Rainbow Doormat offers a vibrant and welcoming addition to any home. Featuring colorful artwork inspired by inclusivity and positivity, this doormat helps create a warm and inviting atmosphere. It is designed for everyday use and adds personality and warmth to your home decor. Product Highlights Features a bright and colorful Pride design with rainbow artwork. Designed for everyday use with a comfortable surface. Non-slip backing ensures stability. Suitable for both indoor and outdoor spaces. Adds a personalized and inclusive touch to home aesthetics. Specifications Attribute Value Rug Form Doormat Item Shape Rectangular Weave Type Flat Woven Pile Height Low Pile Construction Type Machine Made Indoor/Outdoor Usage Both Room Type Porch Special Features Lightweight Pattern rainbow Theme Rainbow Style Modern Text 1 text input Material & Care Item Detail Material Type Polyester Backing Material Rubber Where It Works This doormat is suitable for use in entryways, patios, porches, apartments, dorms, classrooms, offices, and both indoor and outdoor spaces, making it a versatile decorative piece for various settings.",Rug,CHILLGEN,21.9,4,7,2026-09-11T10:19:26Z,e97859948ce21ca93fafbd56b84327dc8dab65feeb4132028f02ba9d9f54b670,bc5a63712a23b245ecd305ea8af12fdd30f5f3c3066a7cb22a4214b768b80c75,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B009/personalized-rainbow-welcome-homos-doormat-indoor-outdoor
B009,chillgen.com::personalized-rainbow-astronaut-cat-cosmic-doormat-front-porch-decor,personalized-rainbow-astronaut-cat-cosmic-doormat-front-porch-decor,16001060995441,gid://shopify/Product/16001060995441,https://chillgen.com/products/personalized-rainbow-astronaut-cat-cosmic-doormat-front-porch-decor,https://chillgen.com/products/personalized-rainbow-astronaut-cat-cosmic-doormat-front-porch-decor.js,https://chillgen.com/products/personalized-rainbow-astronaut-cat-cosmic-doormat-front-porch-decor,"Personalized Rainbow Astronaut Cat Cosmic Doormat, Front Porch Decor","Personalized Rainbow Astronaut Cat Cosmic Doormat, Front Porch Decor",Personalized Rainbow Astronaut Cat – Front Porch Decor,"Modern Pride Rainbow Doormat with a soft, durable polyester surface, perfect for any indoor or outdoor entryway.","This vibrant doormat celebrates inclusivity with a bright and colorful Pride Rainbow design. It features cheerful artwork, adding a welcoming touch to any home. Designed for everyday use, this decorative mat enhances your decor with personality and positivity. Product Highlights Features a bright and colorful Pride Rainbow design. Offers a soft and durable surface for everyday use. Suitable for both indoor and outdoor spaces. Adds personality and warmth to your home decor. Perfect for creating an inclusive home aesthetic. Specifications Attribute Value Rug Form Doormat Item Shape Rectangular Weave Type Flat Woven Pile Height Low Pile Construction Type Machine Made Indoor/Outdoor Usage Both Room Type Porch Pattern rainbow Theme Rainbow Style Modern Special Features Lightweight Text Customization 1 text input Material & Care Item Detail Material Type Polyester Backing Material Rubber Where It Works This doormat is ideal for front doors, entryways, patios, porches, apartments, dorms, classrooms, and offices. It seamlessly integrates into both indoor and outdoor settings, adding a touch of color and personality.",Rug,CHILLGEN,21.9,4,7,2026-09-11T10:19:26Z,ed594a77acb5dc6165d46bcf750cd4f803fb8d779f64d5620db818af9c0e9506,36d54b216446f981bc4157cb767dcc7bf790e6f6a3816983e8fb5ecd2728927f,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B009/personalized-rainbow-astronaut-cat-cosmic-doormat-front-porch-decor
B009,chillgen.com::personalized-flowers-hate-has-no-home-here-doormat-front-porch-decor,personalized-flowers-hate-has-no-home-here-doormat-front-porch-decor,16001061060977,gid://shopify/Product/16001061060977,https://chillgen.com/products/personalized-flowers-hate-has-no-home-here-doormat-front-porch-decor,https://chillgen.com/products/personalized-flowers-hate-has-no-home-here-doormat-front-porch-decor.js,https://chillgen.com/products/personalized-flowers-hate-has-no-home-here-doormat-front-porch-decor,"Personalized Flowers Hate Has No Home Here Doormat, Front Porch Decor","Personalized Flowers Hate Has No Home Here Doormat, Front Porch Decor",Personalized Flowers Hate Has No Home – Front Porch Decor,"Modern rainbow doormat with a soft, durable polyester surface is perfect for inclusive indoor and outdoor spaces.","This vibrant Pride Rainbow Doormat offers a welcoming touch to any home, featuring colorful artwork inspired by inclusivity, love, and positivity. Designed for everyday use, its vivid, long-lasting print adds personality and warmth. This mat serves as a beautiful accent for various spaces, enhancing home decor with its cheerful aesthetic. Product Highlights Features a bright and colorful Pride design with rainbow-inspired artwork. Designed with a soft and durable surface for comfortable everyday use. Adds personality and warmth to home decor with a vivid, long-lasting print. Suitable for both indoor and outdoor spaces. Perfect for creating an inclusive home aesthetic in modern, boho, retro, or eclectic settings. Specifications Attribute Value Rug Form Doormat Item Shape Rectangular Weave Type Flat Woven Pile Height Low Pile Construction Type Machine Made Indoor/Outdoor Usage Both Room Type Porch Pattern rainbow Theme Rainbow Style Modern Special Features Lightweight Text 1 text input Material & Care Item Detail Material Type Polyester Backing Material Rubber Where It Works This doormat is suitable for front doors, entryways, patios, porches, apartments, dorms, classrooms, and offices. It can be used in both indoor and outdoor settings, adding a decorative and welcoming touch to various spaces.",Rug,CHILLGEN,21.9,4,7,2026-09-11T10:19:26Z,eaa2d37a8bbd344094446d93962aaa441d121b53bfc770b6a92a4dc784253b52,b9863ec5f11e8d2eb667f518ecbf4119f6f236ec6b2e37c09b01ce4d7ca93847,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B009/personalized-flowers-hate-has-no-home-here-doormat-front-porch-decor
B009,chillgen.com::personalized-cozy-cat-rainbow-books-doormat-indoor-outdoor-usage,personalized-cozy-cat-rainbow-books-doormat-indoor-outdoor-usage,16001062011249,gid://shopify/Product/16001062011249,https://chillgen.com/products/personalized-cozy-cat-rainbow-books-doormat-indoor-outdoor-usage,https://chillgen.com/products/personalized-cozy-cat-rainbow-books-doormat-indoor-outdoor-usage.js,https://chillgen.com/products/personalized-cozy-cat-rainbow-books-doormat-indoor-outdoor-usage,"Personalized Cozy Cat Rainbow Books Doormat, Indoor Outdoor Usage","Personalized Cozy Cat Rainbow Books Doormat, Indoor Outdoor Usage",Personalized Cozy Cat Rainbow Books – Indoor Outdoor Usage,"Modern rainbow doormat with a soft, durable polyester surface, perfect for welcoming guests in any indoor or outdoor space.","This vibrant doormat celebrates inclusivity with a colorful rainbow design, making it a welcoming accent for any home. Its cheerful aesthetic is perfect for creating an inviting atmosphere for guests and family alike. Designed for everyday use, this decorative floor mat adds personality and positivity to your decor, suitable for various spaces. Product Highlights Features a bright and colorful Pride design with inclusive artwork. Soft and durable material ensures a comfortable surface and long-lasting print. Versatile for both indoor and outdoor spaces, enhancing home decor. Adds personality and warmth with a vivid, long-lasting print. Creates a cozy and welcoming atmosphere in modern or eclectic spaces. Specifications Attribute Value Rug Form Doormat Item Shape Rectangular Weave Type Flat Woven Pile Height Low Pile Construction Type Machine Made Indoor/Outdoor Usage Both Room Type Porch Pattern rainbow Theme Rainbow Style Modern Special Features Lightweight Text Input 1 text input Material & Care Item Detail Material Type Polyester Backing Material Rubber Where It Works This doormat is perfect for front doors, entryways, patios, porches, apartments, dorms, classrooms, and offices. Its inclusive design makes it suitable for creating a welcoming atmosphere in various indoor and outdoor settings.",Rug,CHILLGEN,21.9,4,7,2026-09-11T10:19:26Z,f890fb3b414f26c8fe8869d7893c3c38a4df7e45a4c8ee3b557aea099ecf824a,855f376b2a430086ce359a0960975c38d5a3be6e10f7158454f9e4b0c81a09fa,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B009/personalized-cozy-cat-rainbow-books-doormat-indoor-outdoor-usage
B009,chillgen.com::personalized-as-for-me-and-my-house-doormat-water-resistant,personalized-as-for-me-and-my-house-doormat-water-resistant,16001072890225,gid://shopify/Product/16001072890225,https://chillgen.com/products/personalized-as-for-me-and-my-house-doormat-water-resistant,https://chillgen.com/products/personalized-as-for-me-and-my-house-doormat-water-resistant.js,https://chillgen.com/products/personalized-as-for-me-and-my-house-doormat-water-resistant,"Personalized As For Me And My House Doormat, Water Resistant","Personalized As For Me And My House Doormat, Water Resistant","Personalized As For Me And My House Doormat, Water Resistant","This traditional, rectangular doormat features a personalized faith-based design, perfect for welcoming guests at any entrance.","This customizable doormat offers a warm welcome to any home with its faith-based design. Featuring uplifting Bible verses and options for personalization, it serves as a meaningful accent piece. Crafted for both indoor and covered outdoor use, this doormat combines spiritual inspiration with everyday practicality. Product Highlights Personalizable with family name, initial, or custom text. Features inspirational scripture-based designs. Soft and comfortable underfoot due to high-quality materials. Durable and suitable for both indoor and covered outdoor use. Easy to clean and maintain with simple methods. Specifications Attribute Value Rug Form Doormat Item Shape Rectangular Weave Type Flat Woven Pile Height Low Pile Construction Type Machine Made Indoor/Outdoor Usage Both Water Resistance Water Resistant Pattern Letter Print Theme Letter Print Style Traditional Number of Pieces 2 text inputs Material & Care Item Detail Material Type Faux Wool, Polyester fabric and memory stretch sponge Backing Material Suede Care Instructions Spot Clean Only Cleaning Method Gently soak up liquid with dry duster cloth, clean stain with water, use hand-held vacuum cleaner, sweep with broom, shake off outdoors, wipe with damp cloth and mild soap, or flush with garden hose. Where It Works This personalized doormat is ideal for entrances, front porches, or entryways, offering a welcoming touch to any home. It also serves as a thoughtful gift for housewarmings, weddings, baptisms, Easter, Christmas, or other special occasions.",Rug,CHILLGEN,21.9,4,6,2026-09-11T10:19:26Z,97bf15e5660df472f31ec3c86834f9de80403b7ac5edb170ede80fadb0828821,29a48c90e8f269e049e06693fe20d8d4d90596b36470cf385c57c2a546a3f873,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B009/personalized-as-for-me-and-my-house-doormat-water-resistant
B009,chillgen.com::personalized-bible-verse-quote-with-ornate-frame-doormat,personalized-bible-verse-quote-with-ornate-frame-doormat,16001072922993,gid://shopify/Product/16001072922993,https://chillgen.com/products/personalized-bible-verse-quote-with-ornate-frame-doormat,https://chillgen.com/products/personalized-bible-verse-quote-with-ornate-frame-doormat.js,https://chillgen.com/products/personalized-bible-verse-quote-with-ornate-frame-doormat,Personalized Bible Verse Quote with Ornate Frame Doormat,Personalized Bible Verse Quote with Ornate Frame Doormat,Personalized Bible Verse Quote with Ornate Frame Doormat,"This traditional rectangular doormat with a personalized Bible verse design offers a warm, faith-based welcome for any entryway.","This personalized doormat offers a warm welcome to guests with its faith-based design. Featuring an uplifting Bible verse and customizable text, it serves as a meaningful accent for any home. It combines spiritual inspiration with practical home decor, making it a special addition to your entryway. Product Highlights Personalize with family name, initial, or custom text alongside a Bible verse Features inspirational, scripture-based designs Soft, lightweight, and comfortable underfoot Suitable for both indoor and covered outdoor use Easy to clean and maintain Specifications Attribute Value Rug Form Doormat Item Shape Rectangular Weave Type Flat Woven Pile Height Low Pile Construction Type Machine Made Indoor/Outdoor Usage Both Water Resistance Level Water Resistant Pattern Letter Print Style Traditional Text Customization 2 text inputs Material & Care Item Detail Material Type Faux Wool, Polyester Fabric, Memory Stretch Sponge Backing Material Suede Care Instructions Spot Clean Only Cleaning Method Gently soak with dry duster cloth for liquids, vacuum or sweep for solid waste, wipe with damp cloth and mild soap for deeper cleaning, or flush with garden hose outdoors Where It Works This versatile doormat is ideal for welcoming guests at entrances, front porches, and entryways. It also serves as a thoughtful decorative accent in various indoor settings, enhancing the spiritual ambiance of your home.",Rug,CHILLGEN,21.9,4,6,2026-09-11T10:19:26Z,85e0197178e7278399264bf4f14de193d711a3cf6fb335db80043b5ad1a5f7d7,0335a53e49bd405e569c1b45b6a50a5f2ced572a9ab7482ada9609b2466f4f46,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B009/personalized-bible-verse-quote-with-ornate-frame-doormat
B009,chillgen.com::personalized-bible-verse-family-name-doormat-water-resistant-bible,personalized-bible-verse-family-name-doormat-water-resistant-bible,16001072955761,gid://shopify/Product/16001072955761,https://chillgen.com/products/personalized-bible-verse-family-name-doormat-water-resistant-bible,https://chillgen.com/products/personalized-bible-verse-family-name-doormat-water-resistant-bible.js,https://chillgen.com/products/personalized-bible-verse-family-name-doormat-water-resistant-bible,"Personalized Bible Verse Family Name Doormat, Water Resistant - Bible","Personalized Bible Verse Family Name Doormat, Water Resistant - Bible",Personalized Bible Verse Family Name – Resistant - Bible,"This Christian doormat, made from polyester fabric and memory stretch sponge, offers personalization and is suitable for entrances, porches, or entryways.","🧭 MAKE IT A UNIQUE FAITH-BASED GIFT: Personalize this doormat with your family name, initial, or custom text alongside an uplifting Bible verse. Choose from several inspirational backgrounds featuring scripture-based designs to reflect your faith and values., 🕊️ A BEAUTIFUL CHRISTIAN DOOR MAT FOR YOUR HOME: Welcome guests with warmth and scripture. This personalized Christian doormat with Bible verse brings blessings to your doorstep — ideal for entrances, front porches, or entryways. Makes a thoughtful gift for housewarmings, weddings, baptisms, Easter, Christmas, or any special occasion for believers., 👉 HIGH MATERIAL: Made from high-quality polyester fabric and memory stretch sponge, this doormat is soft, lightweight, and comfortable underfoot. Whether used indoors or outside a covered doorway, it offers both durability and a soft landing for tired feet., 💯 AVAILABLE DOORMAT SIZE: Choose from 16x24 inches | 20x32 inches | 24x36 inches. This Bible verse door mat is perfect as a Christian welcome mat, religious outdoor rug, or indoor decorative accent. A great personalized gift for families of faith, pastors, or church friends., ✔️ EASY TO CLEAN: It is easy to clean and maintain. For spilled liquid, you can gently soak up with a dry duster cloth or easily clean the stain with water. For solid waste, simply use a hand-held vacuum cleaner, sweep it with a broom, or shake it off outdoors or on your trash can. If you want a deeper cleaning, wipe with a damp cloth and mild soap, or flush the carpet outdoors with a garden hose.",Rug,CHILLGEN,21.9,4,6,2026-09-11T10:19:26Z,e28c3043af6ca1adca21623c1992257e5f5829e3f589a5f23a32302130234cab,fb0709f4fcced683a4406369c54deddeab3bcba91763ae6532ef06bead9a037f,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B009/personalized-bible-verse-family-name-doormat-water-resistant-bible
